,"Date","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br...","city","season"
24147,2014-03-09,"71","65","58","58","52","45","86","62","38","30.18","30.13","30.07","10","10","10","17","5","21","T","6","Rain","295<br />","San Francisco (CA)","Winter"
24148,2014-03-10,"66","61","55","56","51","46","93","75","56","30.25","30.17","30.11","10","10","4","22","11","25","T","5","Rain","289<br />","San Francisco (CA)","Winter"
24149,2014-03-11,"69","63","56","47","38","32","62","45","27","30.20","30.10","30.02","10","10","10","28","9","31","0.00","1","","13<br />","San Francisco (CA)","Winter"
24150,2014-03-12,"72","65","58","49","41","35","51","42","32","30.10","30.04","30.00","10","10","10","36","18","43","0.00","1","","7<br />","San Francisco (CA)","Winter"
24151,2014-03-13,"75","64","53","52","45","35","83","57","31","30.08","30.03","30.00","10","10","10","23","7","","0.00","1","","288<br />","San Francisco (CA)","Winter"
24152,2014-03-14,"69","61","53","52","50","48","86","72","58","30.23","30.16","30.09","10","10","9","23","10","25","0.00","3","","267<br />","San Francisco (CA)","Winter"
24153,2014-03-15,"76","64","51","58","51","46","86","65","43","30.31","30.27","30.23","10","10","10","22","8","26","0.00","1","","306<br />","San Francisco (CA)","Winter"
24154,2014-03-16,"68","60","51","56","50","47","89","73","56","30.32","30.27","30.21","10","10","10","35","12","43","0.00","3","","291<br />","San Francisco (CA)","Winter"
24155,2014-03-17,"66","59","52","52","47","45","83","68","52","30.25","30.11","30.00","10","10","10","28","14","31","T","3","","282<br />","San Francisco (CA)","Winter"
24156,2014-03-18,"71","60","48","47","38","29","83","53","22","29.99","29.95","29.91","10","10","8","21","5","24","0.00","1","","273<br />","San Francisco (CA)","Winter"
24157,2014-03-19,"73","61","49","50","41","34","83","53","23","30.09","30.04","29.98","10","10","10","20","6","22","0.00","3","","289<br />","San Francisco (CA)","Winter"
24158,2014-03-20,"69","60","51","54","48","44","83","70","56","30.06","30.02","29.96","10","10","9","26","11","31","0.00","4","","285<br />","San Francisco (CA)","Spring"
24159,2014-03-21,"65","57","49","49","46","44","86","71","56","30.01","29.98","29.95","10","10","8","22","7","25","0.00","2","","286<br />","San Francisco (CA)","Spring"
24160,2014-03-22,"65","56","47","51","46","43","83","70","56","30.13","30.07","30.00","10","10","10","18","8","22","0.00","1","","299<br />","San Francisco (CA)","Spring"
24161,2014-03-23,"64","57","49","51","47","44","89","73","56","30.19","30.14","30.10","10","10","10","21","8","24","0.00","2","","290<br />","San Francisco (CA)","Spring"
24162,2014-03-24,"71","60","48","52","47","39","100","72","44","30.16","30.10","30.02","10","8","0","23","10","26","0.00","2","Fog","288<br />","San Francisco (CA)","Spring"
24163,2014-03-25,"62","55","48","55","50","41","86","75","64","30.06","29.96","29.87","10","10","5","18","8","21","0.09","5","Rain","232<br />","San Francisco (CA)","Spring"
24164,2014-03-26,"62","58","53","54","50","48","86","75","64","29.99","29.88","29.81","10","9","4","25","11","29","0.36","6","Rain","235<br />","San Francisco (CA)","Spring"
24165,2014-03-27,"65","60","54","50","48","45","83","66","48","30.14","30.07","29.99","10","10","9","15","8","21","T","7","Rain","220<br />","San Francisco (CA)","Spring"
24166,2014-03-28,"71","63","55","54","51","48","86","67","47","30.19","30.15","30.11","10","10","10","24","9","29","T","6","Rain","176<br />","San Francisco (CA)","Spring"
24167,2014-03-29,"60","57","53","57","53","47","93","83","72","30.14","30.06","30.02","10","8","2","24","11","28","0.57","7","Rain","224<br />","San Francisco (CA)","Spring"
24168,2014-03-30,"61","56","50","49","46","42","89","70","51","30.15","30.10","30.06","10","10","10","16","9","28","0.01","3","","264<br />","San Francisco (CA)","Spring"
24169,2014-03-31,"57","53","49","48","45","42","86","74","62","30.08","29.93","29.85","10","9","3","23","9","32","0.49","5","Rain","170<br />","San Francisco (CA)","Spring"
24170,2014-04-01,"59","54","48","47","45","43","93","78","62","29.95","29.89","29.84","10","9","6","24","9","36","0.62","7","Rain","163<br />","San Francisco (CA)","Spring"
24171,2014-04-02,"61","54","47","47","45","42","86","71","55","30.11","30.03","29.88","10","10","10","22","9","25","0.36","4","Rain","66<br />","San Francisco (CA)","Spring"
24172,2014-04-03,"64","57","49","51","46","42","86","67","48","30.13","30.09","30.05","10","10","10","16","6","24","0.00","6","","189<br />","San Francisco (CA)","Spring"
24173,2014-04-04,"60","56","51","50","48","44","89","73","57","30.06","30.03","29.99","10","10","7","22","11","28","0.22","6","Rain","271<br />","San Francisco (CA)","Spring"
24174,2014-04-05,"63","57","50","50","48","46","89","75","60","30.20","30.14","30.06","10","10","9","28","13","33","0.00","1","","276<br />","San Francisco (CA)","Spring"
24175,2014-04-06,"74","62","50","55","51","47","89","67","44","30.24","30.18","30.11","10","10","9","23","7","26","0.00","2","","285<br />","San Francisco (CA)","Spring"
24176,2014-04-07,"82","69","55","57","52","49","86","63","39","30.16","30.11","30.06","10","10","10","22","6","24","0.00","0","","310<br />","San Francisco (CA)","Spring"
24177,2014-04-08,"78","67","55","60","54","50","86","68","49","30.11","30.07","30.03","10","10","10","22","9","25","0.00","4","","303<br />","San Francisco (CA)","Spring"
24178,2014-04-09,"64","58","51","53","51","49","96","82","67","30.10","30.05","29.99","10","10","10","25","14","29","0.00","4","","299<br />","San Francisco (CA)","Spring"
24179,2014-04-10,"72","60","48","54","50","46","93","71","49","30.04","29.98","29.90","10","9","2","25","8","29","0.00","5","","305<br />","San Francisco (CA)","Spring"
24180,2014-04-11,"64","59","53","53","51","48","93","80","67","29.95","29.91","29.86","10","10","10","20","10","23","0.00","6","","290<br />","San Francisco (CA)","Spring"
24181,2014-04-12,"67","59","51","52","49","45","83","68","52","29.96","29.91","29.88","10","10","10","22","8","28","0.00","2","","254<br />","San Francisco (CA)","Spring"
24182,2014-04-13,"71","63","54","53","50","47","93","75","57","30.06","30.01","29.97","10","10","9","25","10","30","0.00","4","","270<br />","San Francisco (CA)","Spring"
24183,2014-04-14,"68","60","52","54","51","50","96","80","63","30.13","30.08","30.03","10","10","8","28","12","31","0.00","4","","295<br />","San Francisco (CA)","Spring"
24184,2014-04-15,"65","59","52","51","49","46","89","75","60","30.08","30.00","29.92","10","10","9","24","10","29","0.00","3","","273<br />","San Francisco (CA)","Spring"
24185,2014-04-16,"73","63","52","52","49","47","83","65","47","29.93","29.89","29.84","10","10","8","28","12","32","0.00","2","","292<br />","San Francisco (CA)","Spring"
24186,2014-04-17,"64","59","53","51","49","46","89","73","56","29.89","29.86","29.81","10","10","8","29","17","36","0.00","3","","277<br />","San Francisco (CA)","Spring"
24187,2014-04-18,"63","58","52","50","48","45","83","72","60","29.96","29.92","29.88","10","10","9","25","14","30","0.00","3","","276<br />","San Francisco (CA)","Spring"
24188,2014-04-19,"63","57","51","54","49","45","89","73","56","30.13","30.08","29.96","10","10","8","24","13","29","T","4","","267<br />","San Francisco (CA)","Spring"
24189,2014-04-20,"79","65","51","60","48","43","89","60","30","30.14","30.11","30.07","10","10","10","28","10","31","0.00","1","","304<br />","San Francisco (CA)","Spring"
24190,2014-04-21,"69","61","52","50","48","44","77","63","48","30.09","30.04","29.98","10","10","9","25","13","29","0.00","5","","283<br />","San Francisco (CA)","Spring"
24191,2014-04-22,"63","58","52","51","44","38","89","64","39","30.14","30.09","29.98","10","10","3","36","23","41","0.04","4","Rain","276<br />","San Francisco (CA)","Spring"
24192,2014-04-23,"66","59","52","51","45","41","86","66","46","30.16","30.13","30.10","10","10","10","32","15","38","0.00","3","","282<br />","San Francisco (CA)","Spring"
24193,2014-04-24,"67","61","55","55","53","50","93","76","58","30.13","30.06","29.99","10","10","10","24","11","29","T","6","Rain","265<br />","San Francisco (CA)","Spring"
24194,2014-04-25,"73","63","52","55","50","46","100","89","77","29.98","29.88","29.82","10","9","3","29","13","36","0.37","7","Rain","252<br />","San Francisco (CA)","Spring"
24195,2014-04-26,"62","55","48","47","43","40","83","62","39","30.10","29.99","29.87","10","10","10","26","15","33","0.00","4","","267<br />","San Francisco (CA)","Spring"
24196,2014-04-27,"64","59","53","51","49","46","86","73","60","30.14","30.09","30.04","10","10","10","22","11","26","0.00","6","","229<br />","San Francisco (CA)","Spring"
24197,2014-04-28,"69","61","52","51","47","39","89","63","37","30.23","30.19","30.15","10","10","9","26","12","33","0.00","1","","285<br />","San Francisco (CA)","Spring"
24198,2014-04-29,"86","70","54","53","46","41","72","47","21","30.21","30.14","30.05","10","10","10","18","6","21","0.00","2","","276<br />","San Francisco (CA)","Spring"
24199,2014-04-30,"90","75","60","58","49","33","72","46","19","30.08","30.05","29.99","10","10","10","13","4","15","0.00","2","","297<br />","San Francisco (CA)","Spring"
24200,2014-05-01,"86","74","62","59","47","33","66","41","16","30.09","30.07","30.03","10","10","10","28","8","33","0.00","3","","312<br />","San Francisco (CA)","Spring"
24201,2014-05-02,"73","64","54","54","51","47","93","69","44","30.09","30.07","30.03","10","10","10","25","14","31","0.00","5","","290<br />","San Francisco (CA)","Spring"
24202,2014-05-03,"67","61","55","54","51","48","86","69","52","30.07","30.05","30.02","10","10","10","28","18","35","0.00","6","","267<br />","San Francisco (CA)","Spring"
24203,2014-05-04,"68","63","57","54","53","51","86","72","58","30.08","30.05","30.03","10","10","10","21","12","24","0.00","6","","278<br />","San Francisco (CA)","Spring"
24204,2014-05-05,"66","61","55","53","50","46","86","69","52","30.06","30.02","29.97","10","10","10","35","20","47","0.00","4","","270<br />","San Francisco (CA)","Spring"
24205,2014-05-06,"67","60","52","49","47","44","83","64","45","29.95","29.92","29.89","10","10","10","39","19","45","0.00","1","","278<br />","San Francisco (CA)","Spring"
24206,2014-05-07,"64","58","51","48","47","45","83","68","52","30.01","29.97","29.90","10","10","10","30","17","37","0.00","3","","262<br />","San Francisco (CA)","Spring"
24207,2014-05-08,"65","60","54","58","53","48","84","76","67","30.10","30.06","30.01","10","9","3","23","11","29","T","7","Rain","227<br />","San Francisco (CA)","Spring"
24208,2014-05-09,"66","60","54","57","51","48","93","73","52","30.18","30.14","30.10","10","10","10","33","17","41","0.00","4","","276<br />","San Francisco (CA)","Spring"
24209,2014-05-10,"67","60","52","48","46","43","83","64","44","30.14","30.10","30.04","10","10","10","39","21","47","0.00","1","","277<br />","San Francisco (CA)","Spring"
24210,2014-05-11,"75","63","51","48","43","35","77","51","25","30.11","30.07","30.02","10","10","10","35","16","40","0.00","1","","301<br />","San Francisco (CA)","Spring"
24211,2014-05-12,"84","68","52","56","46","39","77","51","25","30.12","30.08","30.04","10","10","10","25","8","30","0.00","2","","288<br />","San Francisco (CA)","Spring"
24212,2014-05-13,"92","76","59","59","46","38","68","42","15","30.13","30.10","30.07","10","10","9","20","6","22","0.00","1","","306<br />","San Francisco (CA)","Spring"
24213,2014-05-14,"91","77","63","59","46","34","73","44","15","30.13","30.09","30.04","10","10","10","22","8","25","0.00","1","","310<br />","San Francisco (CA)","Spring"
24214,2014-05-15,"84","71","58","57","45","38","67","47","27","30.10","30.08","30.06","10","10","10","29","11","33","0.00","4","","294<br />","San Francisco (CA)","Spring"
24215,2014-05-16,"72","64","55","54","51","49","86","65","44","30.10","30.06","30.02","10","10","10","30","17","37","0.00","5","","280<br />","San Francisco (CA)","Spring"
24216,2014-05-17,"67","62","57","54","51","49","86","72","58","30.03","30.00","29.97","10","10","10","30","16","38","0.00","6","","265<br />","San Francisco (CA)","Spring"
24217,2014-05-18,"68","63","57","54","52","48","86","72","58","30.01","29.99","29.95","10","10","10","39","21","46","0.00","3","","272<br />","San Francisco (CA)","Spring"
24218,2014-05-19,"68","62","56","54","51","49","80","66","52","29.99","29.97","29.94","10","10","10","29","19","33","T","6","","268<br />","San Francisco (CA)","Spring"
24219,2014-05-20,"71","64","56","54","51","48","83","65","47","30.01","29.99","29.94","10","10","10","23","14","28","0.00","5","","267<br />","San Francisco (CA)","Spring"
24220,2014-05-21,"71","64","56","54","52","51","86","70","53","29.99","29.96","29.94","10","10","10","25","12","29","0.00","5","","271<br />","San Francisco (CA)","Spring"
24221,2014-05-22,"70","62","54","54","52","51","86","72","57","30.04","29.97","29.94","10","10","9","22","12","26","0.00","5","","278<br />","San Francisco (CA)","Spring"
24222,2014-05-23,"69","62","54","54","52","50","93","76","59","30.04","30.00","29.95","10","10","10","28","12","33","0.00","5","","281<br />","San Francisco (CA)","Spring"
24223,2014-05-24,"67","61","55","53","51","49","86","71","56","30.02","29.98","29.95","10","10","10","25","16","32","0.00","3","","279<br />","San Francisco (CA)","Spring"
24224,2014-05-25,"72","63","54","52","48","46","83","62","41","29.98","29.96","29.93","10","10","10","37","16","41","0.00","1","","288<br />","San Francisco (CA)","Spring"
24225,2014-05-26,"72","64","56","54","50","47","83","68","53","30.04","30.00","29.96","10","10","10","37","22","44","0.00","1","","280<br />","San Francisco (CA)","Spring"
24226,2014-05-27,"68","61","54","49","47","45","77","63","48","30.06","30.03","29.99","10","10","10","37","18","43","0.00","1","","271<br />","San Francisco (CA)","Spring"
24227,2014-05-28,"72","63","53","47","45","41","77","57","37","30.08","30.03","29.96","10","10","10","28","17","33","0.00","0","","274<br />","San Francisco (CA)","Spring"
24228,2014-05-29,"78","66","53","56","48","45","77","55","33","29.96","29.94","29.91","10","10","10","24","10","28","0.00","1","","288<br />","San Francisco (CA)","Spring"
24229,2014-05-30,"65","59","52","50","49","47","83","72","60","29.99","29.96","29.92","10","10","9","26","14","35","0.00","5","","264<br />","San Francisco (CA)","Spring"
24230,2014-05-31,"68","60","52","54","51","48","89","74","58","29.98","29.95","29.91","10","10","10","25","11","29","0.00","4","","289<br />","San Francisco (CA)","Spring"
24231,2014-06-01,"72","62","52","55","51","48","96","75","53","29.94","29.88","29.80","10","10","10","23","11","26","0.00","2","","306<br />","San Francisco (CA)","Spring"
24232,2014-06-02,"67","60","52","52","50","47","89","74","58","29.92","29.89","29.84","10","10","10","24","10","29","0.00","4","","227<br />","San Francisco (CA)","Spring"
24233,2014-06-03,"67","60","53","52","50","48","89","74","58","29.95","29.91","29.88","10","10","10","23","11","28","0.00","2","","267<br />","San Francisco (CA)","Spring"
24234,2014-06-04,"68","61","53","54","51","48","89","72","55","29.91","29.87","29.83","10","10","9","24","11","29","0.00","3","","304<br />","San Francisco (CA)","Spring"
24235,2014-06-05,"71","62","53","56","53","50","93","75","57","29.87","29.84","29.80","10","10","10","23","10","29","0.00","1","","311<br />","San Francisco (CA)","Spring"
24236,2014-06-06,"71","63","54","56","53","50","93","75","57","29.85","29.82","29.80","10","10","10","24","11","29","0.00","1","","303<br />","San Francisco (CA)","Spring"
24237,2014-06-07,"70","62","53","55","52","50","93","74","55","29.86","29.82","29.78","10","10","9","24","10","29","0.00","2","","303<br />","San Francisco (CA)","Spring"
24238,2014-06-08,"87","71","55","59","53","51","86","58","29","29.83","29.78","29.71","10","10","9","23","11","28","0.00","0","","291<br />","San Francisco (CA)","Spring"
24239,2014-06-09,"77","68","58","60","55","53","84","67","50","29.76","29.73","29.68","10","10","10","26","12","31","0.00","1","","297<br />","San Francisco (CA)","Spring"
24240,2014-06-10,"73","66","58","58","55","54","87","72","57","29.83","29.77","29.73","10","10","10","22","9","26","0.00","2","","291<br />","San Francisco (CA)","Spring"
24241,2014-06-11,"73","65","57","55","53","52","80","65","49","29.92","29.86","29.82","10","10","10","20","11","25","0.00","1","","203<br />","San Francisco (CA)","Spring"
24242,2014-06-12,"67","62","56","52","51","50","86","71","56","30.01","29.96","29.92","10","10","10","36","17","66","0.00","4","","258<br />","San Francisco (CA)","Spring"
24243,2014-06-13,"73","64","54","55","51","50","93","70","46","29.99","29.96","29.93","10","10","10","30","15","35","0.00","2","","280<br />","San Francisco (CA)","Spring"
24244,2014-06-14,"84","70","56","56","51","48","83","58","33","29.95","29.90","29.84","10","10","10","26","11","30","0.00","2","","290<br />","San Francisco (CA)","Spring"
24245,2014-06-15,"70","63","56","52","51","49","83","69","55","29.87","29.84","29.81","10","10","10","38","17","46","0.00","5","","252<br />","San Francisco (CA)","Spring"
24246,2014-06-16,"65","60","55","52","49","47","86","71","56","29.94","29.90","29.86","10","10","10","32","16","41","0.00","4","","250<br />","San Francisco (CA)","Spring"
